,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mar Gregorios College of Law Nalanchira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Banaras Hindu University Varanasi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Al-Azhar Law College Thodupuzha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis International University Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr. Babasaheb Ambedkar Marathwada University Aurangabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shree PM Patel College of Human Rights and Law Anand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Law College Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VT Choksi Sarvajanik College of Law Surat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saveetha University Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bharati Vidyapeeth Deemed University-New Law College Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mody University of Science and Technology Sikar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kannur University Kannur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Midnapore Law College MIdnapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NIMS University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ITM University Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mewar University Chittorgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Siddharth Law College Gandhinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KMCT Law College Malappuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Indian Law Society Law College Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Indian Law Institute New Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sree Narayana Guru College of Legal Studies Kollam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Rajasthan Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr Harisingh Gour Vishwavidyalaya Sagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RN Patel Ipcowala School of Law and Justice Anand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BMS College of Law Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manonmaniam Sundaranar University Tirunelveli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLE Society's Law College Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Himachal Pradesh University Shimla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Vaishnav Institute of Law Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Noida International University Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sinhgad Law College Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Christ University Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Siksha O' Anusandhan University Bhubaneshwar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,National Law University and Judicial Academy Guwahati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bahra University Shimla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,School of Legal Studies-Cochin University of Science and Technology Kochi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sant Gadge Baba Amravati University Amravati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Global Open University Dimapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Jyoti Rao Phoole University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaj Vinayak Global University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Army Institute of Law Mohali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr Ram Manohar Lohiya National Law University Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Ravuri Kanakaiah Memorial Law College Chittoor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jindal Global Law School Sonipat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Kashmir Srinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Law College Ernakulam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi University Kottayam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Institute of Professional Studies Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sree Narayana Law College Poothotta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sido Kanhu Murmu University Dumka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RNB Global University Bikaner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sardar Patel Subharti Institute of Law Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SRM University Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Co-operative School of Law Thodupuzha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Justice Kumarayya College of LawKarimnagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr. KN Modi University Tonk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mount Zion Law College Pathanamthitta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Law School Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Annamalai University Annamalai Nagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Suresh Gyan Vihar University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Swami Vivekanand University Sagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jiwaji University Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Central University of Jharkhand Ranchi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Babu Banarasi Das University Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gautam Buddha University Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Guru Nanak Dev University Amritsar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Law School-Bharati Vidyapeeth University Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jai Hind Defence College Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Jyotiba Phule Rohilkhand University Bareilly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Venkateswara College of Law Tirupati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JSS Law College Mysore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tagore Teachers Training College Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Krantiguru Shyamji Krishna Verma Kachchh University Bhuj,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AISECT University Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Ramswaroop Memorial University Barabanki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,School of Law-KIIT University Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daita Sriramulu Hindu College of Law Machilipatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rani Durgavati Vishwavidyalaya Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr BR Ambedkar University Agra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Law College Ayyanthole,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sambalpur University Sambalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shri Sivaji Law College Kandhar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tripura University Suryamaninagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University College of Law-Osmania University Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dr. Ambedkar College of Law-Wadala Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kerala Law Academy Law College Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Northcap University Gurgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KR Mangalam University Gurgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Balaji Law College Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Law College Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Amity Law School Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,National University of Study and Research in Law Ranchi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sikkim University Gangtok,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gujarat University Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shivaji University Kolhapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jaipur National University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ranchi University Ranchi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OP Jindal Global University Sonipat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangalore University Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Amity University Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Faculty of Law University of Allahabad Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Mysore Mysore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Government Law College Kozhikode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Vijayanagar College of Law Anantapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VIT Law School. Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Durgapur Institute of Legal Studies Durgapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Berhampur University Berhampur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Galgotias University Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,South Asian University New Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mohanlal Sukhadia University Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saurashtra University Rajkot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,National Law University Jodhpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sardar Vallabh Bhai Patel Subharati Institute of Law Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bharati Vidyapeeth Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Graphic Era Hill University Dehradun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chaudhary Devi Lal University Sirsa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chaudhary Charan Singh University Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hidayatullah National Law University Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WB National University of Juridical Sciences Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Patna University Patna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nirma University Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Awadhesh Pratap Singh University Rewa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pt Ravishankar Shukla University Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Burdwan Bardhaman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bhavans NA Palkhivala Academy for Advanced Legal Studies and Research Ramanattukara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gujarat National Law University Gandhinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Siddharth College of Law Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pacific University Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IFIM Law College Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fairfield Institute of Management and Technology New Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Law School Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dibrugarh University Dibrugarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CSI Institution of Legal Studies Cheruvarakonam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Symbiosis Law School Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shiv Nadar University Dadri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Panjab University Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Central University of Bihar Patna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Faculty of Law-BHUBanaras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chanakya Law College Rudrapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Madras Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uttarakhand Technical University Dehradun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
